depth	MnO2	FeOOH	POC	FeS	FeS2	CaCO3	Age	BSi	NdnrPO4	NdrPO4	SurfMn_Ndnr	SurfMn_Ndr	SurfFe_Ndnr	SurfFe_Ndr	Illite	Basalt	O2	NO3	TMn	TFe	CH4	NO2	Ca	Al	TNH4	SO4	TNdnr	TNdr	TH4SiO4	TCO2	TH2S	TH3BO3	TH3PO4	H
0.24144925	0.013320757	0.059725079	3.809637279	3.71038E-56	1.71016E-05	0.172208296	1.155628457	2.588806865	9.07931E-05	4.65349E-05	3.59636E-06	1.84319E-06	1.10474E-05	5.66211E-06	0.194299894	0.127717319	7.12368E-05	3.85629E-05	8.02884E-07	2.34425E-08	2.52148E-16	1.53257E-07	0.010353019	2.311E-08	2.32752E-07	0.027993898	1.22331E-10	6.26999E-11	0.000235593	0.002425576	1.24734E-06	8.7082E-05	2.98657E-06	1.9415E-08
0.256148019	0.013309692	0.059729454	3.809200319	3.80158E-56	1.71041E-05	0.171905394	1.224245487	2.588055563	9.08066E-05	4.65418E-05	3.58189E-06	1.83578E-06	1.10479E-05	5.66241E-06	0.194308711	0.127652664	7.07691E-05	3.84831E-05	8.53595E-07	2.22132E-08	2.5594E-16	1.58893E-07	0.010354147	2.31305E-08	2.4498E-07	0.027993564	1.27223E-10	6.52073E-11	0.00023792	0.002427934	1.31652E-06	8.70827E-05	2.9966E-06	1.93969E-08
0.271218889	0.013298356	0.059733934	3.80875375	3.90388E-56	1.71066E-05	0.171597531	1.294397031	2.587290809	9.08204E-05	4.65489E-05	3.56707E-06	1.82818E-06	1.10485E-05	5.6627E-06	0.194317725	0.127586568	7.02908E-05	3.84011E-05	9.06316E-07	2.10971E-08	2.59903E-16	1.64668E-07	0.010355292	2.31109E-08	2.57335E-07	0.027993221	1.32131E-10	6.77228E-11	0.000240288	0.002430341	1.3876E-06	8.70833E-05	3.00687E-06	1.93791E-08
0.28667128	0.013286743	0.05973852	3.808297398	4.01857E-56	1.71092E-05	0.171284661	1.366112248	2.586512504	9.08346E-05	4.65561E-05	3.5519E-06	1.82041E-06	1.10491E-05	5.663E-06	0.194326938	0.127519004	6.98016E-05	3.83168E-05	9.61184E-07	2.00908E-08	2.64046E-16	1.70584E-07	0.010356454	2.30555E-08	2.69819E-07	0.027992869	1.37053E-10	7.02458E-11	0.0002427	0.002432797	1.46063E-06	8.70839E-05	3.01739E-06	1.93618E-08
0.30251485	0.013274845	0.059743216	3.807831087	4.14712E-56	1.71119E-05	0.170966739	1.439420587	2.585720556	9.08492E-05	4.65636E-05	3.53637E-06	1.81245E-06	1.10497E-05	5.6633E-06	0.194336355	0.127449944	6.93014E-05	3.82301E-05	1.01834E-06	1.9191E-08	2.68382E-16	1.76644E-07	0.010357634	2.29683E-08	2.82434E-07	0.027992507	1.4199E-10	7.2776E-11	0.000245155	0.002435303	1.53568E-06	8.70845E-05	3.02816E-06	1.93449E-08
0.318759502	0.013262656	0.059748024	3.807354639	4.29118E-56	1.71146E-05	0.170643721	1.514351774	2.584914882	9.08641E-05	4.65712E-05	3.52047E-06	1.8043E-06	1.10503E-05	5.66361E-06	0.194345978	0.127379359	6.879E-05	3.81411E-05	1.07795E-06	1.83946E-08	2.72921E-16	1.82852E-07	0.010358832	2.28531E-08	2.95181E-07	0.027992135	1.46939E-10	7.53128E-11	0.000247653	0.002437862	1.61281E-06	8.70851E-05	3.03918E-06	1.93285E-08
0.335415389	0.013250168	0.059752946	3.806867877	4.45266E-56	1.71174E-05	0.170315567	1.5909358	2.584095405	9.08794E-05	4.65791E-05	3.5042E-06	1.79596E-06	1.10509E-05	5.66392E-06	0.194355811	0.127307223	6.82671E-05	3.80495E-05	1.14018E-06	1.76981E-08	2.77676E-16	1.8921E-07	0.010360048	2.27136E-08	3.08063E-07	0.027991753	1.51901E-10	7.78557E-11	0.000250196	0.002440473	1.69209E-06	8.70857E-05	3.05048E-06	1.93126E-08
0.352492922	0.013237373	0.059757986	3.806370621	4.63373E-56	1.71202E-05	0.169982238	1.669202901	2.583262057	9.0895E-05	4.65871E-05	3.48754E-06	1.78742E-06	1.10515E-05	5.66424E-06	0.194365857	0.127233507	6.77326E-05	3.79554E-05	1.20522E-06	1.70983E-08	2.8266E-16	1.95723E-07	0.010361281	2.25531E-08	3.21082E-07	0.02799136	1.56873E-10	8.04043E-11	0.000252782	0.002443137	1.7736E-06	8.70862E-05	3.06205E-06	1.92971E-08
0.370002775	0.013224264	0.059763145	3.805862691	4.83687E-56	1.71232E-05	0.169643694	1.749183547	2.582414778	9.09111E-05	4.65953E-05	3.47048E-06	1.77868E-06	1.10521E-05	5.66456E-06	0.194376119	0.127158181	6.71862E-05	3.78585E-05	1.27326E-06	1.6592E-08	2.87889E-16	2.02394E-07	0.010362534	2.23746E-08	3.34241E-07	0.027990957	1.61856E-10	8.29583E-11	0.000255413	0.002445857	1.85741E-06	8.70867E-05	3.07389E-06	1.92822E-08
0.387955892	0.013210833	0.059768428	3.805343906	5.06497E-56	1.71262E-05	0.169299903	1.830908424	2.58155352	9.09276E-05	4.66038E-05	3.45302E-06	1.76973E-06	1.10528E-05	5.66488E-06	0.194386602	0.127081218	6.66277E-05	3.7759E-05	1.34454E-06	1.61761E-08	2.93377E-16	2.09227E-07	0.010363804	2.2181E-08	3.47543E-07	0.027990542	1.66849E-10	8.55172E-11	0.00025809	0.002448633	1.94359E-06	8.70872E-05	3.08603E-06	1.92677E-08
